,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
96344,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96298,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96361,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96338,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96357,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96337,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96360,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96362,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96225,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96370,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
482005,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96404,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96421,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96427,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96443,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96447,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96511,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96502,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96563,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96822,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96662,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96601,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96590,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96644,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96756,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96776,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96914,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96890,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96965,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96968,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
96959,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96988,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
97082,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97120,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
97151,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97158,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97221,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
97242,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
97401,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
97619,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97647,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97645,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
97758,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
97953,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
97941,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
98041,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
98035,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
98249,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
98331,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
98376,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
98383,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
295626,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
98549,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
98598,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
98680,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
98748,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
98739,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99306,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99429,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
99428,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99440,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99434,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99425,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
99622,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
99651,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
KR22,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,
KR12,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,
KR25,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,
99882,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
100039,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
100126,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
100271,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
100337,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100587,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100562,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100581,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100693,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100766,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100726,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
100747,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
100851,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
101365,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
101897,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
102566,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
103453,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
103998,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
103990,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
104018,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
104836,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
104900,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
104891,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
104951,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
104968,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
104949,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
105150,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
105272,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
105439,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
105459,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
105456,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
105436,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
105424,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
105510,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
105493,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
105541,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106257,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
105645,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
105672,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
105744,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
105822,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
108109,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106492,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106572,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106567,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
106746,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106711,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106776,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106777,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
106804,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106800,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106828,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106822,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106824,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
106883,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
106964,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
106963,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
214142,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
107123,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
107184,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
107291,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
107419,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,
107444,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,
107451,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,
107484,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,
107685,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
107843,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,
107887,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
107960,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108019,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
108100,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
108206,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108237,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108242,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
108880,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108285,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108293,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
108325,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
108401,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
108480,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108512,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
108546,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108586,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,
108632,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
108723,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108724,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
108836,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,
108821,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108834,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108851,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,
108814,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108847,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108848,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
108895,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,
109041,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,
109010,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109459,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109472,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109488,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109577,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
109584,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
109618,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109637,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109703,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109769,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109821,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
109880,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
109934,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
109997,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
110266,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
110265,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
110263,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
110337,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
110380,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
110783,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
110886,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
111120,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
111008,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
444004,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
111119,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
111047,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
111039,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
111363,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
111342,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
111873,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
112530,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
112476,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
114211,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
114767,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
115520,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
115588,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
115643,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
116223,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
116512,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
116558,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
116853,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
116902,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
116955,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
117143,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
468976,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
117200,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
117225,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
117405,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,
117961,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
118070,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
118129,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,
118115,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,
118285,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
118464,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
118514,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
118684,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
118682,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
118840,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,
118830,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,
118893,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
118923,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
119070,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
119432,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
119424,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
119736,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
120015,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
KR11,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,
KR07,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,
120310,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
120355,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
120420,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
120417,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
120447,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
121081,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
364386,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
121495,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
121599,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
124128,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125380,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125420,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125497,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125534,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
125530,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125573,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
125686,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125782,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
125863,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
125897,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126040,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126308,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126409,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
126438,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126435,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
126436,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
126465,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126679,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
126696,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
126675,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
126758,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
126782,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
126886,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
126887,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
126998,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
127229,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
127269,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
127414,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
127448,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
127519,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
127649,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
127942,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
127965,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128066,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128068,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128233,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
128318,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,
128309,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128378,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128420,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,
128482,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128539,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128631,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
128694,,,,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,
