,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
215,,,Accidental,,,,,,Accidental,,Accidental,,,,,Accidental,,,Undetermined,Deliberate,Deliberate,Undetermined,,Undetermined,,,,,,,,,,,,,,,,,
306,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,Accidental,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,
308,,,,Accidental,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,Undetermined,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,Accidental,Deliberate,,,Accidental,,,,,,,,,,,,,Undetermined,Natural,,Accidental,,,,,,,,,,,,,,,,,
MG17,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR20c,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR20d,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR20a,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,Undetermined,,,,,Deliberate,,Accidental,,,,Accidental,,,,Natural,,Deliberate,,,Undetermined,,,,,,,,,,,,,,,,,
864,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,Accidental,,,Undetermined,,,,,,,,,,,Accidental,,,Undetermined,,Undetermined,,,,,,,,,,,,,,,,,
223,,,,,Undetermined,,,Deliberate,,,,,,,,,,,Accidental,,,Deliberate,,Undetermined,,,,,,,,,,,,,,,,,
224,,,,,Accidental,,,Accidental,,,,,,,,,,,Accidental,,,Accidental,,Undetermined,,,,,,,,,,,,,,,,,
225,,,,,Accidental,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,Undetermined,,,,,,,,,,,,,,,,,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,
228,,,,,Undetermined,,,,,,,,,,,,,,Undetermined,,,Undetermined,,Undetermined,,,,,,,,,,,,,,,,,
229,,,,,Accidental,,,,,,,,,,,,,,Undetermined,,,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,
MG11,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,Accidental,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
608,,,,,,,Accidental,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
MG06,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG01,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG07,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG04,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,Accidental,,,,,,,,,,,,,,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,
MG22,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG20,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG19,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,Deliberate,,,,Accidental,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR19,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG05,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR14,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR23,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG23,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR03,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR18,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR04,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR13,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR08,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR05,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,Accidental,,,Undetermined,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,
